name,company,role,bucket,channel,personalization_hook,sent_date,status,response,follow_up_date,notes
,Clay,Head of AI,sales-tools,LinkedIn,,,,not_sent,,,
,Apollo,Head of AI,sales-tools,LinkedIn,,,,not_sent,,,
,Outreach,Head of AI,sales-tools,LinkedIn,,,,not_sent,,,
,Salesloft,Head of AI,sales-tools,LinkedIn,,,,not_sent,,,
,Gong,Head of AI,sales-tools,LinkedIn,,,,not_sent,,,
,Attio,Head of AI,sales-tools,LinkedIn,,,,not_sent,,,
,Cargo,Head of AI,sales-tools,LinkedIn,,,,not_sent,,,
,Ramp,GTM Engineering Lead,gtm-eng,LinkedIn,,,,not_sent,,,
,Rippling,GTM Engineering Lead,gtm-eng,LinkedIn,,,,not_sent,,,
,Vercel,GTM Engineering Lead,gtm-eng,LinkedIn,,,,not_sent,,,
,Linear,GTM Engineering Lead,gtm-eng,LinkedIn,,,,not_sent,,,
,Perplexity,GTM Engineering Lead,gtm-eng,LinkedIn,,,,not_sent,,,
,Anthropic,GTM / Applied AI,gtm-eng,LinkedIn,,,,not_sent,,,
,OpenAI,GTM,gtm-eng,LinkedIn,,,,not_sent,,,
,,,hiring-mgr,LinkedIn,,,,not_sent,,,
,,,hiring-mgr,LinkedIn,,,,not_sent,,,
,,,hiring-mgr,LinkedIn,,,,not_sent,,,
,,,hiring-mgr,Email,,,,not_sent,,,
,,,hiring-mgr,Email,,,,not_sent,,,
,,,other,Twitter,,,,not_sent,,,
